  7.3477611e+006 -5.0000000e+002 -2.7351260e+002 -7.6904575e+002
  7.3477612e+006 -5.0000000e+002 -2.7753465e+002 -7.6905400e+002
  7.3477613e+006 -5.0000000e+002 -2.8155662e+002 -7.6906183e+002
  7.3477614e+006 -5.0000000e+002 -2.8557851e+002 -7.6906985e+002
  7.3477615e+006 -5.0000000e+002 -2.8960030e+002 -7.6907808e+002
  7.3477616e+006 -5.0000000e+002 -2.9362200e+002 -7.6908614e+002
  7.3477617e+006 -5.0000000e+002 -2.9764360e+002 -7.6909407e+002
  7.3477618e+006 -5.0000000e+002 -3.0166511e+002 -7.6910213e+002
  7.3477619e+006 -5.0000000e+002 -3.0568652e+002 -7.6911012e+002
  7.3477620e+006 -5.0000000e+002 -3.0970783e+002 -7.6911816e+002
  7.3477621e+006 -5.0000000e+002 -3.1372905e+002 -7.6912608e+002
  7.3477622e+006 -5.0000000e+002 -3.1775020e+002 -7.6913399e+002
  7.3477623e+006 -5.0000000e+002 -3.2177129e+002 -7.6914180e+002
  7.3477624e+006 -5.0000000e+002 -3.2579231e+002 -7.6914952e+002
  7.3477625e+006 -5.0000000e+002 -3.2981326e+002 -7.6915733e+002
  7.3477626e+006 -5.0000000e+002 -3.3383413e+002 -7.6916501e+002
  7.3477627e+006 -5.0000000e+002 -3.3785493e+002 -7.6917269e+002
  7.3477628e+006 -5.0000000e+002 -3.4187566e+002 -7.6918018e+002
  7.3477629e+006 -5.0000000e+002 -3.4589631e+002 -7.6918755e+002
  7.3477630e+006 -5.0000000e+002 -3.4991688e+002 -7.6919508e+002
  7.3477631e+006 -5.0000000e+002 -3.5393737e+002 -7.6920247e+002
  7.3477632e+006 -5.0000000e+002 -3.5795778e+002 -7.6920977e+002
  7.3477633e+006 -5.0000000e+002 -3.6197812e+002 -7.6921705e+002
  7.3477634e+006 -5.0000000e+002 -3.6599838e+002 -7.6922424e+002
  7.3477635e+006 -5.0000000e+002 -3.7001857e+002 -7.6923157e+002
  7.3477636e+006 -5.0000000e+002 -3.7403868e+002 -7.6923854e+002
  7.3477637e+006 -5.0000000e+002 -3.7805871e+002 -7.6924574e+002
  7.3477638e+006 -5.0000000e+002 -3.8207866e+002 -7.6925315e+002
  7.3477639e+006 -5.0000000e+002 -3.8609854e+002 -7.6926019e+002
  7.3477640e+006 -5.0000000e+002 -3.9011833e+002 -7.6926741e+002
  7.3477641e+006 -5.0000000e+002 -3.9413806e+002 -7.6927478e+002
  7.3477642e+006 -5.0000000e+002 -3.9815774e+002 -7.6928172e+002
  7.3477643e+006 -5.0000000e+002 -4.0217736e+002 -7.6928880e+002
  7.3477644e+006 -5.0000000e+002 -4.0619694e+002 -7.6929585e+002
  7.3477645e+006 -5.0000000e+002 -4.1021645e+002 -7.6930297e+002
  7.3477646e+006 -5.0000000e+002 -4.1423591e+002 -7.6930996e+002
  7.3477647e+006 -5.0000000e+002 -4.1825531e+002 -7.6931682e+002
  7.3477648e+006 -5.0000000e+002 -4.2227465e+002 -7.6932381e+002
  7.3477649e+006 -5.0000000e+002 -4.2629393e+002 -7.6933051e+002
  7.3477650e+006 -5.0000000e+002 -4.3031316e+002 -7.6933725e+002
  7.3477651e+006 -5.0000000e+002 -4.3433232e+002 -7.6934400e+002
  7.3477652e+006 -5.0000000e+002 -4.3835142e+002 -7.6935096e+002
  7.3477653e+006 -5.0000000e+002 -4.4237047e+002 -7.6935759e+002
  7.3477654e+006 -5.0000000e+002 -4.4638945e+002 -7.6936444e+002
  7.3477655e+006 -5.0000000e+002 -4.5040836e+002 -7.6937144e+002
  7.3477656e+006 -5.0000000e+002 -4.5442722e+002 -7.6937801e+002
  7.3477657e+006 -5.0000000e+002 -4.5844602e+002 -7.6938469e+002
  7.3477658e+006 -5.0000000e+002 -4.6246477e+002 -7.6939130e+002
  7.3477659e+006 -5.0000000e+002 -4.6648347e+002 -7.6939793e+002
  7.3477660e+006 -5.0000000e+002 -4.7050211e+002 -7.6940424e+002
  7.3477661e+006 -5.0000000e+002 -4.7452070e+002 -7.6941079e+002
  7.3477662e+006 -5.0000000e+002 -4.7853923e+002 -7.6941729e+002
  7.3477663e+006 -5.0000000e+002 -4.8255772e+002 -7.6942373e+002
  7.3477664e+006 -5.0000000e+002 -4.8657615e+002 -7.6943007e+002
  7.3477665e+006 -5.0000000e+002 -4.9059453e+002 -7.6943658e+002
  7.3477666e+006 -5.0000000e+002 -4.9461287e+002 -7.6944296e+002
  7.3477667e+006 -5.0000000e+002 -4.9863115e+002 -7.6944924e+002
  7.3477668e+006 -5.0000000e+002 -5.0264939e+002 -7.6945558e+002
  7.3477669e+006 -5.0000000e+002 -5.0666759e+002 -7.6946187e+002
  7.3477670e+006 -5.0000000e+002 -5.1068574e+002 -7.6946805e+002
  7.3477671e+006 -5.0000000e+002 -5.1470385e+002 -7.6947416e+002
  7.3477672e+006 -5.0000000e+002 -5.1872191e+002 -7.6948042e+002
  7.3477673e+006 -5.0000000e+002 -5.2273994e+002 -7.6948640e+002
  7.3477674e+006 -5.0000000e+002 -5.2675793e+002 -7.6949240e+002
  7.3477675e+006 -5.0000000e+002 -5.3077588e+002 -7.6949836e+002
  7.3477676e+006 -5.0000000e+002 -5.3479380e+002 -7.6950445e+002
